project,option,vendor_raw,vendor_normalized,trade,source_type,source_path,locator,file_ext,file_size_bytes,status,notes
C4WLS - St. Francis,unknown,OLESEN,OLESEN,unknown,email_quote,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/Sub Bids/OLESEN.eml,TBD,.eml,3410782,unparsed,Sub Bids/OLESEN.eml
C4WLS - St. Francis,unknown,IMG 1274,IMG 1274,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1274.jpeg,TBD,.jpeg,3804607,unparsed,PHOTOS/IMG_1274.jpeg
C4WLS - St. Francis,unknown,IMG 1274,IMG 1274,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1274.jpeg,TBD,.jpeg,3804607,unparsed,sub email/PHOTOS (1)/IMG_1274.jpeg
C4WLS - St. Francis,unknown,IMG 1275,IMG 1275,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1275.jpeg,TBD,.jpeg,1825702,unparsed,PHOTOS/IMG_1275.jpeg
C4WLS - St. Francis,unknown,IMG 1275,IMG 1275,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1275.jpeg,TBD,.jpeg,1825702,unparsed,sub email/PHOTOS (1)/IMG_1275.jpeg
C4WLS - St. Francis,unknown,IMG 1276,IMG 1276,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1276.jpeg,TBD,.jpeg,3437317,unparsed,PHOTOS/IMG_1276.jpeg
C4WLS - St. Francis,unknown,IMG 1276,IMG 1276,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1276.jpeg,TBD,.jpeg,3437317,unparsed,sub email/PHOTOS (1)/IMG_1276.jpeg
C4WLS - St. Francis,unknown,IMG 1277,IMG 1277,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1277.jpeg,TBD,.jpeg,3534608,unparsed,PHOTOS/IMG_1277.jpeg
C4WLS - St. Francis,unknown,IMG 1277,IMG 1277,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1277.jpeg,TBD,.jpeg,3534608,unparsed,sub email/PHOTOS (1)/IMG_1277.jpeg
C4WLS - St. Francis,unknown,IMG 1278,IMG 1278,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1278.jpeg,TBD,.jpeg,2940793,unparsed,PHOTOS/IMG_1278.jpeg
